Date,ClientID,MID,City,Owner
2020-06-28 13:07:24.130699,1156,123456834,Madrid,Andrew
2020-06-27 13:07:24.130699,1157,123456835,Madrid,Minty
2020-06-26 13:07:24.130699,1158,123456836,Madrid,Mike
2020-06-25 13:07:24.130699,1159,123456837,Madrid,Amanda
2020-06-24 13:07:24.130699,1160,123456838,Madrid,Andrew
2020-06-23 13:07:24.130699,1161,123456839,Madrid,Minty
2020-06-22 13:07:24.130699,1162,123456840,Orlando,Andrew
2020-06-21 13:07:24.130699,1163,123456841,Orlando,Fanty
2020-06-20 13:07:24.130699,1164,123456842,Orlando,Anabele
2020-06-19 13:07:24.130699,1165,123456843,Orlando,Andrew
2020-06-18 13:07:24.130699,1166,123456844,Orlando,Ivan
2020-06-17 13:07:24.130699,1167,123456845,Orlando,Amanda
2020-06-16 13:07:24.130699,1168,123456846,Orlando,Bill
2020-06-15 13:07:24.130699,1169,123456847,Orlando,Anabele
2020-06-14 13:07:24.130699,1170,123456848,Orlando,Minty
2020-06-13 13:07:24.130699,1171,123456849,Orlando,Amanda
2020-06-12 13:07:24.130699,1172,123456850,Pompano Beach,Amanda
2020-06-11 13:07:24.130699,1173,123456851,Pompano Beach,Anabele
2020-06-10 13:07:24.130699,1174,123456852,Pompano Beach,Ivan
2020-06-09 13:07:24.130699,1175,123456853,Pompano Beach,Minty
2020-06-08 13:07:24.130699,1176,123456854,Pompano Beach,Minty
2020-06-07 13:07:24.130699,1177,123456855,Pompano Beach,John
2020-06-06 13:07:24.130699,1178,123456856,Pompano Beach,Fanty
2020-06-05 13:07:24.130699,1179,123456857,Pompano Beach,Mike
2020-06-04 13:07:24.130699,1180,123456858,Pompano Beach,Ivan
2020-06-03 13:07:24.130699,1181,123456859,Pompano Beach,Anabele
2020-06-02 13:07:24.130699,1182,123456860,Los Nageles,Roger
2020-06-01 13:07:24.130699,1183,123456861,Los Nageles,Mike
2020-05-31 13:07:24.130699,1184,123456862,Los Nageles,Mike
2020-05-30 13:07:24.130699,1185,123456863,Los Nageles,Ivan
2020-05-29 13:07:24.130699,1186,123456864,Los Nageles,Amanda
2020-05-28 13:07:24.130699,1187,123456865,Los Nageles,Fanty
2020-05-27 13:07:24.130699,1188,123456866,Los Nageles,Anabele
2020-05-26 13:07:24.130699,1189,123456867,Los Nageles,Fanty
2020-05-25 13:07:24.130699,1190,123456868,Los Nageles,Roger
2020-05-24 13:07:24.130699,1191,123456869,Los Nageles,Roger
2020-05-23 13:07:24.130699,1192,123456870,Nashville,Ivan
2020-05-22 13:07:24.130699,1193,123456871,Nashville,Fanty
2020-05-21 13:07:24.130699,1194,123456872,Nashville,John
2020-05-20 13:07:24.130699,1195,123456873,Nashville,John
2020-05-19 13:07:24.130699,1196,123456874,Nashville,Amanda
2020-05-18 13:07:24.130699,1197,123456875,Nashville,Minty
2020-05-17 13:07:24.130699,1198,123456876,Nashville,Fanty
2020-05-16 13:07:24.130699,1199,123456877,Nashville,Mike
2020-05-15 13:07:24.130699,1200,123456878,Nashville,Roger
2020-05-14 13:07:24.130699,1201,123456879,Nashville,Mike
2020-05-13 13:07:24.130699,1202,123456880,Las Vegas,Bill
2020-05-12 13:07:24.130699,1203,123456881,Las Vegas,Mike
2020-05-11 13:07:24.130699,1204,123456882,Las Vegas,Mike
2020-05-10 13:07:24.130699,1205,123456883,Las Vegas,Roger
2020-05-09 13:07:24.130699,1206,123456884,Las Vegas,Anabele
2020-05-08 13:07:24.130699,1207,123456885,Las Vegas,Andrew
2020-05-07 13:07:24.130699,1208,123456886,Las Vegas,Bill
2020-05-06 13:07:24.130699,1209,123456887,Las Vegas,Andrew
2020-05-05 13:07:24.130699,1210,123456888,Las Vegas,Minty
2020-05-04 13:07:24.130699,1211,123456889,Las Vegas,Anabele
